State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Public Library Definition,Legal Basis,Administrative Structure,Interlibrary Relationship,Service Population,Service Population Without Duplicates,Central Libraries,Branch Libraries,Bookmobiles,MLS Librarians,Librarians,Employees,Total Staff,Local Government Operating Revenue,State Government Operating Revenue,Federal Government Operating Revenue,Other Operating Revenue,Total Operating Revenue,Salaries,Benefits,Total Staff Expenditures,Print Collection Expenditures,Digital Collection Expenditures,Other Collection Expenditures,Total Collection Expenditures,Other Operating Expenditures,Total Operating Expenditures,Local Government Capital Revenue,State Government Capital Revenue,Federal Government Capital Revenue,Other Capital Revenue,Total Capital Revenue,Total Capital Expenditures,Print Collection,Digital Collection,Audio Collection,Downloadable Audio,Physical Video,Downloadable Video,Local Cooperative Agreements,State Licensed Databases,Total Licensed Databases,Print Subscriptions,Hours Open,Library Visits,Reference Transactions,Registered Users,Circulation Transactions,Interlibrary Loans Provided,Interlibrary Loans Received,Library Programs,Children’s Programs,Young Adult Programs,Library Program Audience,Children’s Program Audience,Young Adult Program Audience,Public Internet Computers,Internet Computer Use,Wireless Internet Sessions,Start Date,End Date
IA,IA0465,2015,CASCADE PUBLIC LIBRARY,301 1ST AV W,CASCADE,52033,-91.0148745,42.2986031,19,61,DUBUQUE,96370,Y,CI,SO,ME,2159,2128,1,0,0,0,0.75,1,1.75,118639,2864,0,2880,124383, , , ,11000,1700,1300,14000, ,98793,2700,6500,2846,2300,14346,3500,14148,0,211,0,569,0,2,16,18,27,1768,13797,1150,1700,18216,62,131,92,50,2,1582,976,6,5,8844,2700,07/01/2013,06/30/2014
IA,IA0466,2015,ROSS & ELIZABETH BATY MONTICELLO PUBLIC LIBRARY,205 E GRAND ST,MONTICELLO,52310,-91.187505,42.237364,19,105,JONES,20454,Y,CI,SO,ME,6701,6604,1,0,0,0,1,2.15,3.15,116005,2682,0,23700,142387,74747,18571,93318,18781,1954,5338,26073,41881,161272,1000,0,0,3000,4000,3890,20632,8253,846,4096,964,0,5,17,22,85,3068,24681,1580,2635,35719,242,357,139,82,11,2262,1768,134,6,4219,1800,07/01/2013,06/30/2014
IA,IA0467,2015,MORLEY PUBLIC LIBRARY,507 VINE ST,MORLEY,52312,-91.247119,42.006424,19,105,JONES,20454,Y,CI,SO,ME,465,458,1,0,0,0,0.16,0,0.16,9070,579,0,507,10156, , , ,1628,0,4107,5735, ,13680,0,0,0,0,0,0,4571,0,0,0,2688,0,0,13,13,10,338,740,25,95,4564,42,33,7,7,0,64,64,0,2,220,0,07/01/2013,06/30/2014
IA,IA0468,2015,OLIN PUBLIC LIBRARY,301 PARKWAY ST,OLIN,52320,-91.137652,41.9937479,19,105,JONES,20454,Y,CI,SO,ME,1154,1137,1,0,0,0,0.7,0,0.7,23787,1264,0,1673,26724, , , ,4622,0,486,5108, ,28350,0,0,0,0,0,0,9177,0,132,0,1099,0,4,17,21,16,1456,6785,22,612,7651,22,51,46,36,6,834,792,24,6,3102,388,07/01/2013,06/30/2014
IA,IA0469,2015,WREGIE MEMORIAL LIBRARY,105 W BROADWAY ST,OXFORD JUNCTION,52323,-90.9564988,41.9837055,19,105,JONES,20454,Y,CI,SO,ME,864,852,1,0,0,0,0.5,0,0.5,18788,1414,0,8244,28446, , , ,2558,0,544,3102, ,21069,1130,0,0,0,1130,4310,5478,0,199,0,454,0,0,1,1,16,935,3136,200,230,4367,51,247,11,10,1,220,205,15,4,1379,52,07/01/2013,06/30/2014
IA,IA0470,2015,WYOMING PUBLIC LIBRARY,109 W MAIN,WYOMING,52362,-91.0059733,42.0588576,19,105,JONES,20454,Y,CI,SO,ME,1318,1299,1,0,0,0,0.55,0,0.55,22034,1166,0,9121,32321, , , ,1843,645,1155,3643, ,33809,0,0,0,0,0,0,6636,8200,13,4080,811,0,1,3,4,27,983,4050,46,387,6935,65,20,67,63,2,1387,1267,88,5,984,328,07/01/2013,06/30/2014
IA,IA0471,2015,CALAMUS PUBLIC LIBRARY,198 2ND ST,CALAMUS,52729,-90.7587689,41.8255308,19,45,CLINTON,48051,Y,CI,SO,ME,439,433,1,0,0,0,0.28,0,0.28,5176,0,0,1112,6288, , , ,806,0,114,920, ,7399,0,0,0,0,0,54,4542,0,57,0,318,0,1,15,16,2,572,1388,1,176,936,0,0,20,14,0,190,155,0,1,976,-1,07/01/2013,06/30/2014
IA,IA0472,2015,CAMANCHE PUBLIC LIBRARY,102 12TH AVE,CAMANCHE,52730,-90.257153,41.7789818,19,45,CLINTON,48051,Y,CI,SO,ME,4821,4751,1,0,0,0,1.45,1,2.45,137979,3156,0,4710,145845,66310,15988,82298,15787,7970,2943,26700,14465,123463,2000,0,0,0,2000,0,21607,8200,2949,4080,1479,0,6,17,23,103,2262,17316,1891,3119,38627,293,474,159,113,6,2159,1666,111,6,3646,-1,07/01/2013,06/30/2014
IA,IA0473,2015,CLINTON PUBLIC LIBRARY,306 8TH AVE S,CLINTON,52732,-90.1909765,41.8378548,19,45,CLINTON,48051,Y,CI,MO,ME,27967,27564,1,1,0,5,10.5,8.5,19,1134629,7004,0,46342,1187975,558427,277340,835767,39323,21220,4003,64546,155734,1056047,0,0,0,7500,7500,7500,69611,8200,8811,4080,3559,0,7,17,24,158,4792,150000,6470,12299,100274,13230,11075,452,314,53,9525,7882,264,21,21300,-1,07/01/2013,06/30/2014
IA,IA0474,2015,FRANCES BANTA WAGGONER COMMUNITY LIBRARY,505 10TH ST,DEWITT,52742,-90.5367939,41.8251849,19,45,CLINTON,48051,Y,CI,SO,ME,13727,13529,1,0,0,0,3.75,0.75,4.5,227609,4447,0,16621,248677,125290,25045,150335,40233,5775,14237,60245,45173,255753,4192,0,0,692207,696399,0,35761,8200,3080,4080,2832,0,4,17,21,91,2600,64161,872,4672,111644,500,560,237,212,11,3463,3277,71,7,11419,3484,07/01/2013,06/30/2014
