Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,336,20,45 to 54 years,B4,Bernal Heights,June,2016,z,email,true,2003,false,9
0,ADULT,363,340,35 to 44 years,O7,Ortega,June,2016,z,email,true,2004,false,4
4,WELCOME,1,0,45 to 54 years,V3,Visitacion Valley,December,2015,z,email,true,2015,false,
0,ADULT,410,848,35 to 44 years,X,Main Library,July,2016,z,email,true,2011,false,3
0,ADULT,11,1,60 to 64 years,W2,West Portal,March,2015,z,email,true,2012,false,7
0,ADULT,6,0,25 to 34 years,M8,Mission Bay,March,2015,z,email,true,2015,false,6
0,ADULT,450,599,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,May,2016,z,email,true,2009,false,8
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2009,false,
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2009,false,
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2009,false,
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2009,false,
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2009,false,
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2009,false,
0,ADULT,139,132,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,June,2016,z,email,true,2003,false,8
0,ADULT,308,147,25 to 34 years,G4,Glen Park,July,2016,z,email,true,2003,false,7
0,ADULT,14,12,45 to 54 years,W4,Western Addition,October,2015,z,email,true,2008,true,
0,ADULT,20,0,35 to 44 years,A5,Anza,October,2013,z,email,true,2013,false,1
0,ADULT,32,21,25 to 34 years,X,Main Library,December,2015,z,email,true,2014,false,10
0,ADULT,11,2,25 to 34 years,S7,Sunset,November,2012,z,email,true,2004,true,
0,ADULT,2,0,45 to 54 years,M6,Mission,July,2013,z,email,true,2013,false,6
16,DIGITAL ACCESS CARD,0,0,65 to 74 years,X,Main Library,None,None,p,phone,false,2015,false,6
0,ADULT,5,8,25 to 34 years,I5,Ingleside,February,2016,z,email,true,2015,false,7
0,ADULT,115,2,45 to 54 years,X,Main Library,October,2014,p,phone,false,2008,false,11
0,ADULT,8,10,20 to 24 years,P7,Potrero,June,2016,z,email,true,2016,true,
0,ADULT,1,1,20 to 24 years,P3,Parkside,August,2012,z,email,true,2012,false,
0,ADULT,8,0,45 to 54 years,R3,Richmond,October,2014,a,print,false,2014,false,1
0,ADULT,11,17,35 to 44 years,X,Main Library,June,2016,z,email,true,2014,false,
3,SENIOR,21,28,65 to 74 years,I5,Ingleside,July,2013,z,email,true,2003,false,11
0,ADULT,9,22,35 to 44 years,X,Main Library,October,2013,z,email,true,2009,false,7
3,SENIOR,898,1129,65 to 74 years,S7,Sunset,July,2014,z,email,true,2003,false,4
0,ADULT,1,0,35 to 44 years,M8,Mission Bay,May,2015,z,email,true,2015,false,3
0,ADULT,53,15,35 to 44 years,G4,Glen Park,July,2016,z,email,true,2003,false,5
0,ADULT,18,0,20 to 24 years,S7,Sunset,May,2010,z,email,true,2003,false,8
0,ADULT,4,2,25 to 34 years,P1,Park,September,2013,z,email,true,2013,true,
0,ADULT,7,6,60 to 64 years,R3,Richmond,January,2013,z,email,true,2012,false,2
0,ADULT,10,31,25 to 34 years,M6,Mission,October,2015,z,email,true,2014,false,9
3,SENIOR,324,157,65 to 74 years,M4,Merced,July,2016,p,phone,false,2003,false,7
0,ADULT,339,11,45 to 54 years,X,Main Library,September,2015,z,email,true,2012,false,6
0,ADULT,7,2,25 to 34 years,B2,Bayview/Linda Brooks-Burton,June,2016,p,phone,true,2016,false,10
0,ADULT,157,68,35 to 44 years,I5,Ingleside,January,2016,a,print,false,2011,false,11
0,ADULT,5,30,25 to 34 years,X,Main Library,November,2015,a,print,false,2015,false,10
0,ADULT,22,42,35 to 44 years,C2,Chinatown,July,2014,a,print,false,2003,false,
0,ADULT,12,0,35 to 44 years,B2,Bayview/Linda Brooks-Burton,October,2013,p,phone,true,2008,false,10
0,ADULT,1,2,45 to 54 years,X,Main Library,December,2012,z,email,true,2012,true,
0,ADULT,515,19,55 to 59 years,C2,Chinatown,July,2016,a,print,false,2003,true,
0,ADULT,0,0,55 to 59 years,P9,Presidio,None,None,z,email,true,2003,true,
0,ADULT,292,157,60 to 64 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,14,1,20 to 24 years,W2,West Portal,October,2012,a,print,false,2003,false,7
0,ADULT,2,0,35 to 44 years,B4,Bernal Heights,December,2012,z,email,true,2012,false,10
0,ADULT,5,5,25 to 34 years,X,Main Library,May,2015,z,email,true,2015,false,2
0,ADULT,13,4,20 to 24 years,X,Main Library,August,2013,z,email,true,2008,true,
0,ADULT,1,0,45 to 54 years,G4,Glen Park,January,2015,z,email,true,2014,true,
0,ADULT,55,23,25 to 34 years,W4,Western Addition,May,2016,z,email,true,2014,false,5
4,WELCOME,0,0,35 to 44 years,M6,Mission,None,None,z,email,true,2013,false,8
0,ADULT,797,22,65 to 74 years,P7,Potrero,July,2016,z,email,true,2003,false,10
0,ADULT,1087,46,20 to 24 years,X,Main Library,September,2014,p,phone,false,2008,false,
3,SENIOR,9,6,65 to 74 years,P7,Potrero,March,2014,z,email,true,2013,true,
0,ADULT,57,50,25 to 34 years,M6,Mission,October,2015,z,email,true,2009,false,9
0,ADULT,11,1,25 to 34 years,X,Main Library,May,2014,z,email,true,2014,false,8
0,ADULT,1847,1607,55 to 59 years,E9,Excelsior,July,2016,z,email,true,2003,false,9
0,ADULT,18,0,25 to 34 years,X,Main Library,July,2015,z,email,true,2015,false,3
0,ADULT,9,1,35 to 44 years,E9,Excelsior,April,2014,z,email,true,2011,false,11
0,ADULT,68,22,55 to 59 years,N4,Noe Valley/Sally Brunn,December,2014,z,email,true,2003,false,8
3,SENIOR,1927,94,65 to 74 years,X,Main Library,December,2014,p,phone,false,2007,false,5
4,WELCOME,2,0,25 to 34 years,B4,Bernal Heights,May,2016,a,print,false,2016,false,9
