Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
3,SENIOR,1174,127,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,false,7
0,ADULT,698,622,60 to 64 years,I5,Ingleside,February,2016,a,print,false,2003,false,11
0,ADULT,1961,4793,45 to 54 years,C2,Chinatown,January,2016,z,email,true,2003,false,6
0,ADULT,2294,173,45 to 54 years,M6,Mission,December,2015,p,phone,false,2003,false,9
3,SENIOR,15,0,65 to 74 years,C2,Chinatown,April,2006,p,phone,false,2003,false,4
0,ADULT,366,61,60 to 64 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
3,SENIOR,37,19,65 to 74 years,W2,West Portal,July,2016,p,phone,false,2003,false,7
3,SENIOR,348,318,65 to 74 years,P3,Parkside,July,2016,z,email,true,2003,false,7
3,SENIOR,182,43,65 to 74 years,R3,Richmond,July,2016,p,phone,true,2003,false,1
0,ADULT,191,234,55 to 59 years,M8,Mission Bay,December,2014,z,email,true,2003,false,6
0,ADULT,23,4,45 to 54 years,S7,Sunset,July,2016,z,email,true,2003,false,4
0,ADULT,558,491,60 to 64 years,M6,Mission,June,2016,z,email,true,2003,false,9
0,ADULT,109,115,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,April,2016,z,email,true,2003,false,6
0,ADULT,87,21,55 to 59 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
0,ADULT,210,9,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,2
0,ADULT,705,3,55 to 59 years,C2,Chinatown,July,2016,p,phone,false,2003,false,3
0,ADULT,17,4,60 to 64 years,W2,West Portal,January,2013,z,email,true,2003,false,11
3,SENIOR,16,9,65 to 74 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,79,1,45 to 54 years,N6,North Beach,June,2016,z,email,true,2003,false,10
0,ADULT,170,31,60 to 64 years,O7,Ortega,June,2016,z,email,true,2003,false,4
0,ADULT,30,3,55 to 59 years,X,Main Library,May,2016,z,email,true,2003,false,2
0,ADULT,2,0,35 to 44 years,E9,Excelsior,June,2016,p,phone,false,2003,false,11
3,SENIOR,70,10,65 to 74 years,I5,Ingleside,February,2015,z,email,true,2003,false,7
3,SENIOR,822,717,65 to 74 years,P5,Portola,July,2016,z,email,true,2003,false,10
0,ADULT,382,619,45 to 54 years,E9,Excelsior,July,2016,z,email,true,2003,false,9
0,ADULT,2,0,60 to 64 years,X,Main Library,April,2016,p,phone,false,2003,false,4
0,ADULT,103,33,45 to 54 years,X,Main Library,July,2016,p,phone,false,2003,false,8
0,ADULT,137,159,35 to 44 years,C2,Chinatown,December,2011,a,print,true,2003,false,7
3,SENIOR,2324,2100,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,false,7
0,ADULT,19,35,35 to 44 years,E9,Excelsior,April,2016,z,email,true,2003,false,11
0,ADULT,507,532,45 to 54 years,X,Main Library,August,2015,z,email,true,2003,false,9
3,SENIOR,2903,217,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,6
0,ADULT,452,58,45 to 54 years,C2,Chinatown,August,2014,z,email,true,2003,false,6
0,ADULT,71,23,55 to 59 years,N6,North Beach,January,2015,z,email,true,2003,false,3
3,SENIOR,156,41,65 to 74 years,O7,Ortega,November,2014,z,email,true,2003,false,4
0,ADULT,46,54,45 to 54 years,P1,Park,September,2015,z,email,true,2003,false,5
0,ADULT,512,339,55 to 59 years,X,Main Library,October,2014,z,email,true,2003,false,3
0,ADULT,9,16,35 to 44 years,P5,Portola,September,2014,z,email,true,2003,false,2
0,ADULT,2,0,35 to 44 years,R3,Richmond,December,2004,a,print,false,2003,false,6
3,SENIOR,231,38,65 to 74 years,N6,North Beach,July,2016,z,email,true,2003,false,3
0,ADULT,483,465,45 to 54 years,S7,Sunset,May,2016,z,email,true,2003,false,4
3,SENIOR,440,169,65 to 74 years,A5,Anza,July,2016,p,phone,false,2003,false,1
0,ADULT,108,6,45 to 54 years,M6,Mission,May,2016,p,phone,false,2003,false,11
0,ADULT,101,9,45 to 54 years,M6,Mission,March,2015,z,email,true,2003,false,9
0,ADULT,1299,400,60 to 64 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,185,39,55 to 59 years,M4,Merced,June,2016,z,email,true,2003,false,7
0,ADULT,31,54,55 to 59 years,S7,Sunset,July,2016,p,phone,false,2003,false,4
0,ADULT,21,2,60 to 64 years,C2,Chinatown,February,2014,p,phone,false,2003,false,2
3,SENIOR,2267,1070,65 to 74 years,R3,Richmond,July,2016,p,phone,true,2003,false,8
0,ADULT,62,36,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,7
0,ADULT,21,4,35 to 44 years,M6,Mission,June,2016,p,phone,false,2003,false,9
0,ADULT,146,105,45 to 54 years,X,Main Library,June,2016,p,phone,false,2003,false,8
0,ADULT,23,0,45 to 54 years,G4AAA,Unknown,July,2016,z,email,true,2003,false,9
0,ADULT,79,88,35 to 44 years,M6,Mission,November,2015,z,email,true,2003,false,9
0,ADULT,84,35,45 to 54 years,N6,North Beach,July,2016,z,email,true,2003,false,8
0,ADULT,687,627,55 to 59 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,835,334,45 to 54 years,X,Main Library,October,2015,p,phone,true,2003,false,5
3,SENIOR,2858,521,65 to 74 years,S7,Sunset,July,2016,p,phone,false,2003,false,4
0,ADULT,32,31,25 to 34 years,P1,Park,December,2015,z,email,true,2003,false,5
3,SENIOR,105,89,65 to 74 years,O7,Ortega,October,2014,z,email,true,2003,false,4
0,ADULT,249,239,35 to 44 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
0,ADULT,145,56,60 to 64 years,P1,Park,July,2016,z,email,true,2003,false,9
0,ADULT,410,319,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2003,false,10
3,SENIOR,79,2,65 to 74 years,M6,Mission,October,2013,a,print,true,2003,false,8
0,ADULT,709,231,60 to 64 years,P1,Park,March,2016,z,email,true,2003,false,8
0,ADULT,8,0,35 to 44 years,C2,Chinatown,None,None,p,phone,false,2003,false,3
0,ADULT,124,22,55 to 59 years,C2,Chinatown,July,2013,p,phone,false,2003,false,3
3,SENIOR,46,25,65 to 74 years,X,Main Library,September,2014,z,email,true,2003,false,3
0,ADULT,467,71,60 to 64 years,M2,Marina,July,2016,p,phone,false,2003,false,2
0,ADULT,18,2,55 to 59 years,C2,Chinatown,January,2014,z,email,true,2003,false,4
0,ADULT,45,13,35 to 44 years,C2,Chinatown,July,2016,z,email,true,2003,false,3
0,ADULT,70,5,60 to 64 years,G6,Golden Gate Valley,January,2016,z,email,true,2003,false,2
0,ADULT,2322,2814,45 to 54 years,G4,Glen Park,July,2016,z,email,true,2003,false,11
0,ADULT,38,68,45 to 54 years,P1,Park,May,2013,z,email,true,2003,false,6
0,ADULT,116,120,35 to 44 years,O7,Ortega,July,2016,z,email,true,2003,false,7
0,ADULT,95,41,60 to 64 years,P9,Presidio,July,2016,z,email,true,2003,false,1
3,SENIOR,246,66,65 to 74 years,G4,Glen Park,June,2016,z,email,true,2003,false,8
0,ADULT,98,40,55 to 59 years,R3,Richmond,July,2016,z,email,true,2003,false,1
3,SENIOR,21,33,65 to 74 years,X,Main Library,October,2015,z,email,true,2003,false,3
0,ADULT,1344,750,55 to 59 years,O7,Ortega,July,2016,z,email,true,2003,false,7
0,ADULT,452,397,45 to 54 years,B4,Bernal Heights,July,2016,p,phone,true,2003,false,9
3,SENIOR,1885,534,65 to 74 years,A5,Anza,July,2016,z,email,true,2003,false,1
0,ADULT,298,114,60 to 64 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
0,ADULT,6,7,45 to 54 years,X,Main Library,March,2015,a,print,false,2003,false,2
0,ADULT,236,55,55 to 59 years,R3,Richmond,July,2016,z,email,true,2003,false,1
3,SENIOR,29,0,65 to 74 years,P9,Presidio,September,2013,z,email,true,2003,false,7
0,ADULT,179,26,35 to 44 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,38,4,45 to 54 years,A5,Anza,August,2013,a,print,true,2003,false,1
0,ADULT,234,60,35 to 44 years,C2,Chinatown,January,2015,a,print,false,2003,false,10
3,SENIOR,1009,591,65 to 74 years,P1,Park,July,2016,z,email,true,2003,false,5
0,ADULT,6,11,45 to 54 years,X,Main Library,May,2016,z,email,true,2003,false,8
0,ADULT,444,250,55 to 59 years,X,Main Library,April,2016,z,email,true,2003,false,8
0,ADULT,316,258,35 to 44 years,X,Main Library,December,2014,z,email,true,2003,false,10
0,ADULT,423,11,45 to 54 years,X,Main Library,February,2014,p,phone,false,2003,false,6
0,ADULT,25,2,35 to 44 years,O7,Ortega,December,2015,a,print,true,2003,false,1
3,SENIOR,79,26,65 to 74 years,X,Main Library,November,2014,z,email,true,2003,false,7
0,ADULT,329,179,45 to 54 years,R3,Richmond,July,2016,z,email,true,2003,false,1
0,ADULT,99,30,45 to 54 years,R3,Richmond,June,2014,z,email,true,2003,false,8
3,SENIOR,295,112,65 to 74 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,252,71,60 to 64 years,A5,Anza,June,2016,z,email,true,2003,false,1
0,ADULT,524,125,60 to 64 years,C2,Chinatown,October,2014,p,phone,false,2003,false,11
0,ADULT,73,0,45 to 54 years,P1,Park,May,2013,z,email,true,2003,false,9
0,ADULT,21,5,45 to 54 years,O7,Ortega,August,2015,z,email,true,2003,false,4
0,ADULT,2890,734,55 to 59 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,99,54,35 to 44 years,X,Main Library,July,2016,p,phone,true,2003,false,9
0,ADULT,798,381,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,5
0,ADULT,68,29,45 to 54 years,R3,Richmond,January,2015,z,email,true,2003,false,1
3,SENIOR,14,15,65 to 74 years,X,Main Library,May,2013,p,phone,false,2003,false,8
3,SENIOR,144,34,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,November,2015,z,email,true,2003,false,8
3,SENIOR,111,95,65 to 74 years,W2,West Portal,July,2012,z,email,true,2003,false,7
0,ADULT,6335,375,60 to 64 years,R3,Richmond,July,2016,p,phone,false,2003,false,11
0,ADULT,865,744,65 to 74 years,E9,Excelsior,May,2009,z,email,true,2003,false,11
0,ADULT,608,312,45 to 54 years,O7,Ortega,February,2015,z,email,true,2003,false,4
0,ADULT,139,38,35 to 44 years,R3,Richmond,September,2015,z,email,true,2003,false,1
0,ADULT,449,252,55 to 59 years,M6,Mission,June,2016,z,email,true,2003,false,9
3,SENIOR,321,81,65 to 74 years,B4,Bernal Heights,June,2016,p,phone,false,2003,false,9
0,ADULT,141,148,60 to 64 years,P5,Portola,July,2016,z,email,true,2003,false,9
0,ADULT,26,4,35 to 44 years,B2,Bayview/Linda Brooks-Burton,May,2014,p,phone,false,2003,false,10
3,SENIOR,152,75,65 to 74 years,X,Main Library,November,2011,p,phone,true,2003,false,9
0,ADULT,1524,671,35 to 44 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,4,0,35 to 44 years,I5,Ingleside,April,2008,z,email,true,2003,true,11
0,ADULT,62,9,35 to 44 years,N6,North Beach,November,2013,z,email,true,2003,false,2
3,SENIOR,16,12,65 to 74 years,E9,Excelsior,May,2014,z,email,true,2003,false,10
0,ADULT,65,12,35 to 44 years,C2,Chinatown,June,2016,p,phone,false,2003,false,4
0,ADULT,5,0,45 to 54 years,C2,Chinatown,July,2010,p,phone,false,2003,false,3
3,SENIOR,67,1,65 to 74 years,C2,Chinatown,June,2013,a,print,false,2003,false,11
3,SENIOR,407,172,65 to 74 years,S7,Sunset,July,2016,p,phone,false,2003,false,4
3,SENIOR,658,348,65 to 74 years,X,Main Library,June,2016,z,email,true,2003,false,10
0,ADULT,2568,1420,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
9,SPECIAL,3050,1565,65 to 74 years,YLW,Library on Wheels,March,2016,p,phone,true,2003,false,3
3,SENIOR,96,95,65 to 74 years,G6,Golden Gate Valley,November,2014,z,email,true,2003,false,2
0,ADULT,16,3,60 to 64 years,M6,Mission,May,2008,z,email,true,2003,false,8
4,WELCOME,47,5,45 to 54 years,X,Main Library,April,2013,p,phone,false,2003,false,6
0,ADULT,942,224,55 to 59 years,M6,Mission,July,2016,z,email,true,2003,false,9
0,ADULT,426,406,45 to 54 years,X,Main Library,July,2016,p,phone,false,2003,false,10
0,ADULT,73,9,55 to 59 years,X,Main Library,October,2015,z,email,true,2003,false,1
0,ADULT,106,171,35 to 44 years,W2,West Portal,April,2016,z,email,true,2003,false,7
0,ADULT,145,30,60 to 64 years,W2,West Portal,April,2016,z,email,true,2003,false,4
0,ADULT,269,350,45 to 54 years,A5,Anza,July,2016,z,email,true,2003,false,1
3,SENIOR,1511,17,65 to 74 years,C2,Chinatown,July,2016,p,phone,false,2003,false,5
3,SENIOR,194,122,65 to 74 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,455,37,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,p,phone,false,2003,false,9
0,ADULT,2064,4161,45 to 54 years,P9,Presidio,July,2016,p,phone,false,2003,false,2
0,ADULT,75,57,45 to 54 years,I5,Ingleside,May,2014,z,email,true,2003,false,7
0,ADULT,149,28,60 to 64 years,S7,Sunset,July,2016,p,phone,false,2003,false,7
0,ADULT,93,58,45 to 54 years,X,Main Library,March,2013,z,email,true,2003,false,7
3,SENIOR,32,12,65 to 74 years,P9,Presidio,September,2014,z,email,true,2003,false,2
3,SENIOR,124,75,65 to 74 years,X,Main Library,February,2013,z,email,true,2003,false,6
0,ADULT,235,189,35 to 44 years,O7,Ortega,April,2016,z,email,true,2003,false,7
0,ADULT,25,0,60 to 64 years,X,Main Library,January,2014,z,email,true,2003,false,11
0,ADULT,384,76,35 to 44 years,M6,Mission,September,2010,p,phone,false,2003,false,11
3,SENIOR,54,46,65 to 74 years,X,Main Library,October,2013,z,email,true,2003,false,2
0,ADULT,147,11,45 to 54 years,X,Main Library,January,2014,z,email,true,2003,false,7
3,SENIOR,11,1,65 to 74 years,S7,Sunset,September,2013,z,email,true,2003,false,5
0,ADULT,36,1,45 to 54 years,P3,Parkside,January,2016,z,email,true,2003,false,1
0,ADULT,13,8,45 to 54 years,M6,Mission,March,2016,z,email,true,2011,false,
0,ADULT,507,88,55 to 59 years,A5,Anza,July,2016,p,phone,false,2003,false,1
3,SENIOR,137,45,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,2
0,ADULT,71,9,60 to 64 years,G4,Glen Park,June,2016,z,email,true,2003,false,8
0,ADULT,158,51,45 to 54 years,W4,Western Addition,July,2014,z,email,true,2003,false,5
0,ADULT,71,23,45 to 54 years,M6,Mission,July,2015,z,email,true,2003,false,10
0,ADULT,526,400,55 to 59 years,M6,Mission,July,2016,z,email,true,2003,false,10
0,ADULT,0,0,35 to 44 years,S7,Sunset,May,2010,z,email,true,2003,false,5
0,ADULT,18,0,55 to 59 years,W4,Western Addition,October,2015,p,phone,false,2003,false,5
0,ADULT,288,425,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,5
0,ADULT,84,50,45 to 54 years,P7,Potrero,April,2016,z,email,true,2003,false,10
0,ADULT,74,10,45 to 54 years,P1,Park,January,2016,z,email,true,2003,false,8
0,ADULT,172,31,60 to 64 years,X,Main Library,July,2015,p,phone,false,2003,false,10
3,SENIOR,172,66,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,4
3,SENIOR,18,2,65 to 74 years,X,Main Library,November,2013,z,email,true,2003,false,6
0,ADULT,100,83,55 to 59 years,X,Main Library,July,2016,a,print,false,2003,false,4
0,ADULT,20,0,60 to 64 years,X,Main Library,December,2015,z,email,true,2003,false,7
0,ADULT,698,787,55 to 59 years,W4,Western Addition,June,2016,z,email,true,2003,false,5
0,ADULT,201,162,60 to 64 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,333,189,45 to 54 years,W2,West Portal,July,2016,z,email,true,2003,false,8
0,ADULT,140,6,35 to 44 years,S7,Sunset,December,2013,p,phone,false,2003,false,5
0,ADULT,1410,475,55 to 59 years,S7,Sunset,July,2016,z,email,true,2003,false,4
3,SENIOR,19,0,65 to 74 years,E9,Excelsior,June,2015,p,phone,false,2003,false,11
3,SENIOR,861,301,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,5
0,ADULT,93,104,45 to 54 years,M2,Marina,July,2016,z,email,true,2003,false,2
0,ADULT,50,16,60 to 64 years,G4,Glen Park,November,2015,z,email,true,2003,false,7
0,ADULT,352,419,60 to 64 years,W2,West Portal,December,2013,z,email,true,2003,false,7
3,SENIOR,47,10,65 to 74 years,X,Main Library,September,2015,p,phone,false,2003,false,5
0,ADULT,2600,940,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,6
3,SENIOR,35,11,65 to 74 years,X,Main Library,June,2016,z,email,true,2003,false,1
0,ADULT,392,1,55 to 59 years,I5,Ingleside,July,2016,p,phone,false,2003,false,3
0,ADULT,101,221,45 to 54 years,M4,Merced,August,2011,p,phone,false,2003,false,4
0,ADULT,902,74,45 to 54 years,X,Main Library,November,2014,p,phone,false,2003,false,6
0,ADULT,37,17,60 to 64 years,P7,Potrero,June,2015,z,email,true,2003,false,5
0,ADULT,5040,2063,60 to 64 years,M6,Mission,June,2015,z,email,true,2003,false,9
0,ADULT,350,344,45 to 54 years,R3,Richmond,July,2016,z,email,true,2003,false,1
0,ADULT,40,28,35 to 44 years,P1,Park,July,2016,z,email,true,2003,false,10
3,SENIOR,70,46,65 to 74 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,51,45,60 to 64 years,S7,Sunset,July,2016,p,phone,false,2003,false,4
0,ADULT,533,48,55 to 59 years,N6,North Beach,September,2013,z,email,true,2003,false,8
3,SENIOR,612,72,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,1
0,ADULT,80,104,45 to 54 years,E9,Excelsior,May,2005,p,phone,false,2003,false,11
0,ADULT,60,80,60 to 64 years,P3,Parkside,June,2016,z,email,true,2003,false,4
3,SENIOR,16,40,65 to 74 years,N6,North Beach,November,2013,p,phone,false,2003,false,3
0,ADULT,82,28,55 to 59 years,W2,West Portal,July,2016,p,phone,false,2003,false,7
3,SENIOR,1090,413,65 to 74 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,616,121,35 to 44 years,S7,Sunset,August,2015,z,email,true,2003,false,4
0,ADULT,5,20,45 to 54 years,X,Main Library,November,2015,z,email,true,2003,false,5
0,ADULT,85,16,60 to 64 years,M6,Mission,November,2013,p,phone,false,2003,false,9
0,ADULT,30,5,35 to 44 years,E9,Excelsior,November,2015,a,print,false,2003,false,11
0,ADULT,1269,36,55 to 59 years,X,Main Library,February,2015,z,email,true,2003,false,5
0,ADULT,920,579,55 to 59 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,298,133,55 to 59 years,M2,Marina,June,2016,p,phone,true,2003,false,1
3,SENIOR,689,730,65 to 74 years,W2,West Portal,May,2015,p,phone,false,2003,false,4
0,ADULT,156,213,45 to 54 years,W2,West Portal,July,2014,z,email,true,2003,false,7
0,ADULT,115,31,35 to 44 years,R3,Richmond,September,2015,z,email,true,2003,false,11
0,ADULT,957,446,35 to 44 years,C2,Chinatown,March,2016,z,email,true,2003,false,3
3,SENIOR,333,117,65 to 74 years,X,Main Library,February,2016,p,phone,false,2003,false,2
0,ADULT,651,1051,45 to 54 years,O7,Ortega,June,2016,z,email,true,2003,false,4
3,SENIOR,2261,1206,65 to 74 years,M2,Marina,July,2016,z,email,true,2003,false,2
3,SENIOR,450,12,65 to 74 years,N6,North Beach,November,2015,z,email,true,2003,false,3
0,ADULT,6,0,60 to 64 years,M2,Marina,August,2007,z,email,true,2003,false,1
0,ADULT,1438,90,45 to 54 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,283,15,35 to 44 years,M2,Marina,August,2013,z,email,true,2003,false,2
0,ADULT,45,0,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,8
0,ADULT,19,4,55 to 59 years,X,Main Library,September,2012,a,print,false,2003,false,9
0,ADULT,19,0,55 to 59 years,X,Main Library,October,2005,z,email,true,2003,false,3
0,ADULT,192,151,35 to 44 years,S7,Sunset,July,2016,z,email,true,2003,false,11
0,ADULT,3196,59,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,6
0,ADULT,134,47,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,December,2014,z,email,true,2003,false,10
0,ADULT,692,85,45 to 54 years,M6,Mission,August,2013,p,phone,true,2003,false,8
3,SENIOR,909,1145,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,false,7
0,ADULT,1764,1012,45 to 54 years,M8,Mission Bay,July,2016,z,email,true,2003,false,6
3,SENIOR,2625,1416,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,3
0,ADULT,0,0,20 to 24 years,R3,Richmond,None,None,z,email,true,2016,true,
0,ADULT,138,18,45 to 54 years,R3,Richmond,August,2014,z,email,true,2003,false,9
0,ADULT,1509,48,60 to 64 years,X,Main Library,October,2015,p,phone,false,2003,false,4
0,ADULT,96,6,60 to 64 years,X,Main Library,December,2014,p,phone,false,2003,false,11
0,ADULT,4,0,55 to 59 years,X,Main Library,November,2012,p,phone,false,2003,false,9
0,ADULT,317,406,55 to 59 years,M8,Mission Bay,July,2016,z,email,true,2003,false,6
0,ADULT,140,34,60 to 64 years,R3,Richmond,June,2016,z,email,true,2003,false,1
0,ADULT,519,259,55 to 59 years,X,Main Library,March,2016,p,phone,false,2003,false,7
0,ADULT,9,5,45 to 54 years,C2,Chinatown,May,2012,z,email,true,2003,false,3
0,ADULT,12740,2209,45 to 54 years,C2,Chinatown,July,2016,z,email,true,2003,false,3
0,ADULT,11,10,55 to 59 years,X,Main Library,November,2015,z,email,true,2003,false,6
0,ADULT,1116,903,45 to 54 years,S7,Sunset,July,2016,z,email,true,2003,false,4
3,SENIOR,348,308,65 to 74 years,P3,Parkside,November,2014,z,email,true,2003,false,4
0,ADULT,672,195,45 to 54 years,G6,Golden Gate Valley,July,2016,z,email,true,2003,false,11
0,ADULT,60,16,60 to 64 years,S7,Sunset,September,2015,p,phone,false,2003,false,1
0,ADULT,631,7,45 to 54 years,X,Main Library,December,2015,a,print,false,2003,false,9
0,ADULT,851,562,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,5
0,ADULT,790,190,55 to 59 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
3,SENIOR,1265,718,65 to 74 years,X,Main Library,June,2016,a,print,false,2003,false,3
0,ADULT,269,36,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
0,ADULT,255,383,55 to 59 years,X,Main Library,April,2016,z,email,true,2003,false,10
3,SENIOR,102,119,65 to 74 years,X,Main Library,June,2016,z,email,true,2003,false,1
0,ADULT,129,4,45 to 54 years,X,Main Library,April,2013,z,email,true,2003,false,3
0,ADULT,138,33,60 to 64 years,B4,Bernal Heights,November,2015,z,email,true,2003,false,9
0,ADULT,87,94,45 to 54 years,W2,West Portal,June,2014,z,email,true,2003,false,1
0,ADULT,999,127,55 to 59 years,X,Main Library,July,2016,p,phone,false,2003,false,6
3,SENIOR,13,26,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,2
3,SENIOR,158,21,65 to 74 years,X,Main Library,February,2016,p,phone,false,2003,false,10
3,SENIOR,38,10,65 to 74 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,101,37,55 to 59 years,E9,Excelsior,June,2014,z,email,true,2003,false,10
3,SENIOR,1709,2659,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,3
0,ADULT,13,0,55 to 59 years,M4,Merced,June,2005,p,phone,false,2003,false,11
3,SENIOR,187,39,65 to 74 years,X,Main Library,April,2016,z,email,true,2003,false,4
0,ADULT,1832,2,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,3
3,SENIOR,868,239,65 to 74 years,M6,Mission,July,2016,z,email,true,2003,false,8
3,SENIOR,43,10,65 to 74 years,G4,Glen Park,May,2016,p,phone,true,2003,false,8
3,SENIOR,576,155,65 to 74 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,593,637,45 to 54 years,P5,Portola,July,2016,z,email,true,2003,false,3
3,SENIOR,333,225,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,103,98,20 to 24 years,P5,Portola,July,2016,z,email,true,2003,false,9
0,ADULT,849,616,60 to 64 years,E9,Excelsior,January,2013,z,email,true,2003,false,11
0,ADULT,1364,1493,55 to 59 years,R3,Richmond,July,2016,z,email,true,2003,false,1
0,ADULT,1283,119,25 to 34 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,106,3,35 to 44 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
3,SENIOR,473,141,65 to 74 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,166,19,25 to 34 years,M6,Mission,November,2013,z,email,true,2010,true,
0,ADULT,80,80,25 to 34 years,X,Main Library,July,2016,z,email,true,2008,true,
0,ADULT,47,5,35 to 44 years,E9,Excelsior,October,2011,z,email,true,2009,false,11
0,ADULT,36,0,25 to 34 years,X,Main Library,May,2015,z,email,true,2014,false,5
16,DIGITAL ACCESS CARD,0,0,20 to 24 years,O2,Ocean View,None,None,z,email,true,2014,false,11
0,ADULT,8,8,35 to 44 years,P7,Potrero,July,2016,z,email,true,2014,false,10
0,ADULT,716,283,35 to 44 years,S7,Sunset,July,2016,z,email,true,2007,false,7
0,ADULT,41,33,20 to 24 years,X,Main Library,July,2016,z,email,true,2007,false,7
0,ADULT,501,94,45 to 54 years,P9,Presidio,June,2016,z,email,true,2003,false,1
0,ADULT,2,0,55 to 59 years,P1,Park,October,2007,z,email,true,2007,false,5
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2012,false,4
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2012,false,4
0,ADULT,144,229,35 to 44 years,M6,Mission,July,2016,z,email,true,2011,false,7
0,ADULT,430,247,55 to 59 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,3,0,35 to 44 years,G4,Glen Park,January,2016,z,email,true,2012,false,6
0,ADULT,5,0,20 to 24 years,X,Main Library,June,2015,z,email,true,2011,false,6
3,SENIOR,17,5,65 to 74 years,M8,Mission Bay,January,2016,p,phone,true,2006,true,
0,ADULT,50,89,20 to 24 years,N4,Noe Valley/Sally Brunn,January,2015,z,email,true,2013,false,8
3,SENIOR,3,3,65 to 74 years,X,Main Library,October,2012,z,email,true,2003,false,7
0,ADULT,44,0,35 to 44 years,O7,Ortega,January,2016,z,email,true,2003,false,4
3,SENIOR,938,357,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,5
0,ADULT,14,3,25 to 34 years,X,Main Library,March,2015,z,email,true,2014,false,9
0,ADULT,43,34,25 to 34 years,X,Main Library,December,2015,z,email,true,2003,false,11
4,WELCOME,1,0,25 to 34 years,S7,Sunset,July,2013,z,email,true,2013,false,4
4,WELCOME,1,0,25 to 34 years,S7,Sunset,July,2013,z,email,true,2013,false,4
0,ADULT,5,3,25 to 34 years,X,Main Library,January,2016,z,email,true,2015,false,11
0,ADULT,26,0,35 to 44 years,G4,Glen Park,June,2016,z,email,true,2015,false,7
